id,elev,lat,lon
492,1163.93,-117.508166,34.290962
493,1159.49,-117.508183,34.290666
494,1153.94,-117.508078,34.290577
495,1147.66,-117.507941,34.290359
496,1147.6,-117.507973,34.29028
497,1156.37,-117.508545,34.290144
498,1167.65,-117.50914,34.290107
499,1168.46,-117.50912,34.289942
500,1171.05,-117.508892,34.289649
501,1167.87,-117.508684,34.289461
502,1164.4,-117.508649,34.289361
503,1164.95,-117.508809,34.289212
504,1167.18,-117.509343,34.288964
505,1172.74,-117.509489,34.288989
506,1171.68,-117.509639,34.288945
507,1178.11,-117.510077,34.288921
508,1188.26,-117.510294,34.288949
509,1187.3,-117.510324,34.288872
510,1184.07,-117.510311,34.288754
511,1189.67,-117.510537,34.288634
512,1189.9,-117.510597,34.288564
513,1185.76,-117.510489,34.288543
514,1183.61,-117.510461,34.288499
515,1185.77,-117.510614,34.28839
516,1193.3,-117.51084,34.288288
517,1193.51,-117.510848,34.288186
518,1198.07,-117.510933,34.288131
519,1203.17,-117.511038,34.288118
520,1206.08,-117.511061,34.288067
521,1210.17,-117.510889,34.287927
522,1205.31,-117.510676,34.287939
523,1201.47,-117.510588,34.287981
524,1199.43,-117.510472,34.287987
525,1198.71,-117.510418,34.287961
526,1201.67,-117.510444,34.287882
527,1208.7,-117.510549,34.287759
528,1207.84,-117.510684,34.28744
529,1216.37,-117.510949,34.287368
530,1216.93,-117.511023,34.287291
531,1214.51,-117.511018,34.287044
532,1220.13,-117.511114,34.286936
533,1213.75,-117.511014,34.286735
534,1213.73,-117.511022,34.286644
535,1224.05,-117.511318,34.286274
536,1219.17,-117.511317,34.286126
537,1221.44,-117.511396,34.286067
538,1235.99,-117.512226,34.285807
539,1238.1,-117.512498,34.285821
540,1249.62,-117.512815,34.285918
541,1243.82,-117.512826,34.285742
542,1247.02,-117.513012,34.285619
543,1250.65,-117.513354,34.285529
544,1253.97,-117.513555,34.285519
545,1250.02,-117.513967,34.285385
546,1251.93,-117.514248,34.285394
547,1251.51,-117.514366,34.285368
548,1253.98,-117.514494,34.28541
549,1257.11,-117.514833,34.285381
550,1256.38,-117.51483,34.285308
551,1256.27,-117.514755,34.285238
552,1259.54,-117.514716,34.285124
553,1259.91,-117.514248,34.284872
554,1255.49,-117.513813,34.284708
555,1256.1,-117.513756,34.284654
556,1258.58,-117.513805,34.284612
557,1262.24,-117.51404,34.284712
558,1270.81,-117.514389,34.284755
