id,elev,lon,lat,dist,dist_total
5740,1103.19,-116.524556,33.150893,205.784373398,87271.962063968
5760,1098.33,-116.52653,33.151738,206.635195425,87478.597259393
5780,1073.84,-116.528584,33.154463,263.7872832,87742.384542593
5800,1060.21,-116.531254,33.155246,263.787283201,88006.171825794
5820,1047.73,-116.534322,33.155596,288.83104971,88295.002875504
5840,1043.99,-116.537281,33.157867,299.885441532,88594.888317036
5860,1068.08,-116.53946,33.159855,299.885441532,88894.773758568
5880,1081.12,-116.54255,33.162168,369.394279061,89264.168037629
5900,1089,-116.543812,33.165325,369.394279061,89633.56231669
5920,1087.11,-116.543101,33.168944,278.12641803,89911.68873472
5940,1117.69,-116.541512,33.171066,278.12641803,90189.81515275
5960,1141.76,-116.546564,33.171519,206.204207224,90396.019359974
5980,1163.06,-116.547704,33.173112,206.204207224,90602.223567198
6000,1178.78,-116.549659,33.174306,186.926577213,90789.150144411
6020,1198.48,-116.548351,33.175583,186.926577213,90976.076721624
6040,1223.32,-116.548283,33.17813,60.824554356,91036.90127598
6060,1234.92,-116.549696,33.180183,244.304218609,91281.205494589
6080,1239.73,-116.548932,33.178076,60.824554356,91342.030048945
6100,1253.78,-116.551068,33.176341,261.1683038,91603.198352745
6120,1285.74,-116.553617,33.178096,299.290719075,91902.48907182
6140,1301.52,-116.55603,33.179875,299.290719075,92201.779790895
6160,1321.28,-116.557694,33.182775,182.97691536,92384.756706255
6180,1315.85,-116.558594,33.184241,182.97691536,92567.7336216151
6200,1293.29,-116.561543,33.185084,290.475914195,92858.2095358101
6220,1302.54,-116.56385,33.187611,353.318628798,93211.5281646081
6240,1342.71,-116.566016,33.191977,199.311475241,93410.8396398491
6260,1341.42,-116.565337,33.193681,199.311475241,93610.1511150901
6280,1331.44,-116.563223,33.195577,99.629441299,93709.7805563891
6300,1325.27,-116.561583,33.196801,204.484528169,93914.2650845581
6320,1305.03,-116.563827,33.196318,99.629441299,94013.8945258571
6340,1292.88,-116.565606,33.197272,196.754132802,94210.6486586591
6360,1286.93,-116.569514,33.197667,258.290440013,94468.9390986721
6380,1270.12,-116.571144,33.19955,217.616097166,94686.5551958381
6400,1254.45,-116.573058,33.197891,256.330404864,94942.8856007021
6420,1247.41,-116.57323,33.20043,217.616097166,95160.5016978681
6440,1242.68,-116.574701,33.202824,252.920954846,95413.4226527141
6460,1227.67,-116.572041,33.203271,247.204521707,95660.6271744211
6480,1210.8,-116.568281,33.203835,356.111789346,96016.7389637671
6500,1194.61,-116.571848,33.205494,247.204521706,96263.9434854731
6520,1179.69,-116.573907,33.207104,262.178052752,96526.1215382251
6540,1152.21,-116.577928,33.208951,166.451598994,96692.5731372191
6560,1136.29,-116.579689,33.209198,166.451598994,96859.0247362131
6580,1114.32,-116.582081,33.211744,230.839577416,97089.8643136291
6600,1095.54,-116.583879,33.213175,230.839577415,97320.7038910441
6620,1056.78,-116.588099,33.216226,420.488994346,97741.1928853901
6640,1050.48,-116.591796,33.218398,210.150241014,97951.3431264041
6660,1040.65,-116.592518,33.220193,210.150241014,98161.4933674181
6680,1055.33,-116.589703,33.22164,181.304085848,98342.797453266
6700,1058.62,-116.588601,33.222987,145.398640121,98488.196093387
6720,1076.46,-116.589818,33.223807,145.39864012,98633.594733507
6740,1055.95,-116.593548,33.225502,300.741879295,98934.336612802
6760,1032.13,-116.596744,33.225873,300.741879294,99235.0784920961
6780,1008.67,-116.599154,33.22836,355.733838263,99590.812330359
6800,1008.66,-116.598695,33.233485,570.014260558,100160.826590917
6820,1001.39,-116.599797,33.238509,566.592427107,100727.419018024
6840,1023.46,-116.600004,33.24369,245.544812072,100972.963830096
6860,1025.12,-116.599847,33.2459,245.544812072,101218.508642168
6880,1035.98,-116.599549,33.248889,227.767196958,101446.275839126
6900,1059.35,-116.601821,33.248132,255.396106755,101701.671945881
6920,1085.03,-116.601928,33.250433,255.396106755,101957.068052636
6940,1075.14,-116.606509,33.253295,531.968321489,102489.036374125
6960,1068.75,-116.611881,33.254508,450.297238209,102939.333612334
6980,1047.68,-116.61565,33.257049,454.475260489,103393.808872823
7000,1070.11,-116.618153,33.260566,352.672450022,103746.481322845
7020,1048.52,-116.621685,33.261709,258.849216553,104005.330539398
7040,1063.85,-116.621417,33.264032,258.849216552,104264.17975595
7060,1037.2,-116.624819,33.265755,370.122478693,104634.302234643
7080,1000.23,-116.629303,33.265212,422.103037641,105056.405272284
7100,978.3,-116.634357,33.266387,488.591284237,105544.996556521
7120,946.73,-116.639859,33.26873,230.608009389,105775.60456591
7140,939.01,-116.64149,33.270294,230.608009389,106006.212575299
