DBA,BORO,ZIPCODE,CUISINECODE,INSPDATE,ACTION,VIOLCODE,SCORE,CURRENTGRADE
JAC MAO CHINESE CUISINE,5,10305,20,2014-02-25 00:00:00,D,06C,11,A
EAST OCEAN BUFFET,3,11214,20,2014-02-25 00:00:00,U,06C,25,Z
JAC MAO CHINESE CUISINE,5,10305,20,2014-02-25 00:00:00,D,10A,11,A
SHAKA BURRITO,1,10010,55,2014-02-25 00:00:00,D,10B,10,A
KINGS LONG WONG BAKERY,3,11223,20,2014-02-25 00:00:00,D,10F,13,A
PHILADELHIA GRILLE EXPRESS,3,11209,48,2014-02-25 00:00:00,D,06D,12,A
GIGI'S PIZZERIA,4,11357,62,2014-02-25 00:00:00,D,02G,9,A
LA NUEVA ESPANA RESTAURANT,1,10034,77,2014-02-25 00:00:00,U,02B,22,Z
ATLANTIC GRILL,1,10075,72,2014-02-25 00:00:00,D,10B,7,A
BATEAUX NEW YORK,1,10011,3,2014-02-25 00:00:00,D,04H,7,A
CAFE RIVERA,3,11222,8,2014-02-25 00:00:00,U,04M,21,Z
MORENA RESTAURANT,2,10453,53,2014-02-25 00:00:00,D,02G,12,A
RUNNING COOL RESTAURANT,2,10453,17,2014-02-25 00:00:00,U,08A,27,Z
WALDORF ASTORIA BANQUET KITCHEN,1,10022,3,2014-02-25 00:00:00,F,06D,37,Z
NOBI SUSHI,1,10016,49,2014-02-25 00:00:00,U,04M,23,Z
Junior's Seafood,2,10453,72,2014-02-25 00:00:00,F,10F,32,Z
EVERYDAY GOURMET DELI,1,10017,3,2014-02-25 00:00:00,D,10B,11,A
EUROPAN PIZZA CAFE,1,10028,62,2014-02-25 00:00:00,D,06D,8,A
KASHKAR CAFE,3,11235,67,2014-02-25 00:00:00,F,06C,44,Z
KASHKAR CAFE,3,11235,67,2014-02-25 00:00:00,F,10F,44,Z
BROADWAY BAKERY & PIZZERIA,4,11419,62,2014-02-25 00:00:00,D,02G,11,A
A SWEET OCCASION,5,10301,99,2014-02-25 00:00:00,D,10F,2,A
MISS LILY'S,1,10012,17,2014-02-25 00:00:00,D,06E,7,A
CANTINA ROYAL,3,11249,55,2014-02-25 00:00:00,U,06C,19,Z
DUNKIN DONUTS,4,11433,3,2014-02-25 00:00:00,D,10F,9,A
CANAAN RESTAURANT,4,11356,20,2014-02-25 00:00:00,D,09B,9,A
STAR MINI MART/SUBWAY,4,11354,69,2014-02-25 00:00:00,D,02G,7,A
Events at Stone Park,3,11215,3,2014-02-25 00:00:00,D,06D,8,A
JAVATEA,1,10021,14,2014-02-25 00:00:00,D,04C,7,A
TOKYO TERIYAKI,4,11375,49,2014-02-25 00:00:00,D,04L,9,A
BEIJING STYLE BARBEQUE,4,11355,20,2014-02-25 00:00:00,D,06D,7,A
